experiment_name,run,split,rows,quantization_method,precision,seconds,seconds_per_item,comet,max_new_tokens,predictions_csv,timestamp_utc
qwen2audio_eval_only_en_zh_bnb_int8_maxnew64,baseline_fp16_eval,eval,416,none,fp16,272.678,0.6555,0.779163,64,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/qwen2audio_eval_only_en_zh_bnb_int8_maxnew64/baseline_fp16_eval_preds.csv,2026-03-18T12:08:22.173391
qwen2audio_eval_only_en_zh_bnb_int8_maxnew64,quantized_int8_eval,eval,416,bitsandbytes_int8,int8,1050.899,2.5262,0.775192,64,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/qwen2audio_eval_only_en_zh_bnb_int8_maxnew64/quantized_int8_eval_preds.csv,2026-03-18T12:26:05.840424
